key,id,en
$fox_dialog_penghapus_3,Benda kecil itu dipercaya dapat memindahkan tulisan sendiri,It is believed that this small object can move writing on its own
$fox_dialog_penghapus_4,Benda mungil itu dikabarkan terbentuk dari debu meteor,That tiny object is said to have formed from a meteor dust
,,
$sheep_dialog_pengserut_1,"Terbuat dari plastik atau logam, dan punya lubang kecil dan pisau tajam","Made out of plastic or metal,and it also has a small hole with a sharp knife"
$sheep_dialog_pengserut_2,Benda ini akan membuat pensilku jadi lancip lagi,This object will make my pencil sharp again
$sheep_dialog_pengserut_3,Jika digunakan dia menghasilkan serpihan kayu kecil,If used it will leave a tiny wooden flakes
$sheep_dialog_pengserut_4,Di dalamnya ada benda tajam yang berguna untuk pensil,"Inside, there is a sharp object that is usefull for pencils"
$sheep_dialog_pengserut_5,Bisa membuat pensil jadi lebih pendek,Can make pencils even more shorter
$wolf_dialog_pengserut_1,Benda tersebut berada di sekolah saja dan suka digunakan untuk memotong,The object only exist in schools and it always been used for cutting
$wolf_dialog_pengserut_2,Benda yang sangat rapuh dan lembek,A fragile and mushy object
$wolf_dialog_pengserut_3,Benda ini sangat cocok berpasangan dengan pulpen,This object is perfect if paired with a pen
$wolf_dialog_pengserut_4,Benda ini memiliki warna yang kusam dan jelek,This object has a dirty and horrible color
,,
$sheep_dialog_pensil_1,Digunakan untuk menulis atau menggambar,Used for writing or drawing
$sheep_dialog_pensil_2,Ujungnya runcing agar mudah digunakan,The end of this thing is sharp so it can be used easily
$sheep_dialog_pensil_3,Dapat diraut bila tumpul,Can be sharpened if blunt
$sheep_dialog_pensil_4,Ringan dan mudah dibawa ke mana saja,Light and easy to carry anywhere
$sheep_dialog_pensil_5,Ada yang berwana-warni juga,There are colorful ones too
$wolf_dialog_pensil_1,Benda itu tergeletak di atas meja,The object is lying on the table
$wolf_dialog_pensil_2,Sebuah barang kecil di sudut ruangan jendela,A small object on the corner of a window
$wolf_dialog_pensil_3,Sebuah benda tipis dengan ukuran yang tidak terlalu panjang,A thin object with a size that is not too long
$wolf_dialog_pensil_4,Suatu benda kecil di lantai kelas,A small object lying on the classroom floor
,,
$sheep_dialog_pulpen_1,Di dalamnya terdapat tinta,There's an ink inside of it
$sheep_dialog_pulpen_2,Biasa digunakan untuk menulis,Usually used for writing
$sheep_dialog_pulpen_3,Biasanya bentuknya panjang,Usually it is cylinder shaped
$sheep_dialog_pulpen_4,"Setelah digunakan, tidak bisa dihapus","After use, you can't erase it"
$sheep_dialog_pulpen_5,"Jenisnya ballpoint, gel, rollerball, fountain, dan mekanik","Diverse types like ballpoint, rollerball, fountain, and mechanic"
$wolf_dialog_pulpen_1,Benda tersebut berada di sekolah saja,The object only exist in schools
$wolf_dialog_pulpen_2,Benda yang sangat rapuh,A very fragile object
$wolf_dialog_pulpen_3,Benda ini cocok berpasangan dengan pengserut,This object is perfectly paired with a sharpener
$wolf_dialog_pulpen_4,Benda ini cocok berpasangan dengan penghapus,This object is perfectly paired with an eraser
,,
$fox_dialog_tutorial_1,Pengembala! Sepertinya aku mencium bau [color=#b35054]predator[/color] baru,Shepherd! I think I smelled a new [color=#b35054]predator[/color].
$fox_dialog_tutorial_2," [color=#b35054]Predator[/color] ini sepertinya seekor  [color=#b35054]rubah[/color], dia suka menyampaikan informasi palsu tentang kartu yang berada di tengah","This [color=#b35054]predator[/color] seems to be a [color=#b35054]fox[/color], they alwas like to send a false information about the object."
$fox_dialog_tutorial_3,Untuk kasus ini aku akan membantu mu dengan cara memberikan pin di setiap [color=#a7d694]domba[/color],"For this case, I will help you by giving a pin on some [color=#a7d694]sheep[/color]."
$fox_dialog_tutorial_4,"Jika pin yang aku berikan berwarna [color=#a7d694]hijau[/color], kemungkinan itu adalah [color=#a7d694]domba[/color] asli","If the color of the pin that I gave is  [color=#a7d694]green[/color], there's a chance that is an actual  [color=#a7d694]sheep[/color]."
$fox_dialog_tutorial_5,"Tetapi jika yang aku berikan berwarna [color=#b35054]merah[/color], kemungkinan itu adalah [color=#b35054]predator[/color] yang menyamar","But if the color of the pin that I gave is [color=#b35054]red[/color], there's a chance that is a disguised [color=#b35054]predator[/color]."
$fox_dialog_tutorial_6,Klik aku untuk mengaktif pin,Click me to activate pin
$fox_dialog_tutorial_7,Klik aku untuk mengaktif pin,Click me to activate pin
$fox_dialog_tutorial_8,Pilih kartu yang ingin dipin,Pick the card you want to pick
PAUSED,Dijeda,Paused
RESUME,Lanjut,Resume
COMPLETED,Selesai,Completed
CHANGE LANGUAGE,Ganti bahasa,Change language
